index,timestamp,src,dst,protocol,length
1,1682101149.6312983,1,0,TCP,74
2,1682101149.6314137,0,1,TCP,74
3,1682101149.6314316,1,0,TCP,66
4,1682101149.6316247,1,0,TCP,107
5,1682101149.63165,0,1,TCP,66
6,1682101149.6374629,0,1,TCP,107
7,1682101149.637472,1,0,TCP,66
8,1682101149.6376543,1,0,TCP,1570
9,1682101149.6381311,0,1,TCP,1146
10,1682101149.679143,1,0,TCP,66
11,1682101149.6880534,1,0,TCP,1274
12,1682101149.697605,0,1,TCP,1630
13,1682101149.6976168,1,0,TCP,66
14,1682101149.7151325,1,0,TCP,82
15,1682101149.7590582,0,1,TCP,66
16,1682101149.7590709,1,0,TCP,110
17,1682101149.7591124,0,1,TCP,66
18,1682101149.7592068,0,1,TCP,110
19,1682101149.7592678,1,0,TCP,126
20,1682101149.7664504,0,1,TCP,118
21,1682101149.7665238,1,0,TCP,206
22,1682101149.767523,0,1,TCP,166
23,1682101149.7684486,1,0,TCP,374
24,1682101149.7811213,0,1,TCP,94
25,1682101149.781237,1,0,TCP,178
26,1682101149.8190472,0,1,TCP,842
27,1682101149.8591475,1,0,TCP,66
28,1682101149.8591952,0,1,TCP,258
29,1682101149.8592038,1,0,TCP,66
30,1682101149.8593102,1,0,TCP,846
31,1682101149.8597407,0,1,TCP,138
32,1682101149.903127,1,0,TCP,66
33,1682101150.435933,1,0,TCP,102
34,1682101150.4373617,0,1,TCP,206
35,1682101150.4374125,1,0,TCP,66
36,1682101150.4388573,0,1,TCP,134
37,1682101150.438904,1,0,TCP,66
38,1682101150.440053,0,1,TCP,158
39,1682101150.4400952,1,0,TCP,66
40,1682101150.4402485,0,1,TCP,150
41,1682101150.4402895,1,0,TCP,66
42,1682101150.4437551,0,1,UDP,85
43,1682101150.4593792,1,0,UDP,197
44,1682101150.4617238,0,1,TCP,158
45,1682101150.461767,1,0,TCP,66
46,1682101150.461781,-1,-1,TCP,74
47,1682101150.4810903,-1,-1,TCP,74
48,1682101150.4814696,-1,-1,TCP,66
49,1682101150.5117414,-1,-1,TCP,458
50,1682101150.530709,-1,-1,TCP,66
51,1682101150.5309,-1,-1,TCP,1466
52,1682101150.5309837,-1,-1,TCP,1466
53,1682101150.5310094,-1,-1,TCP,66
54,1682101150.5311785,-1,-1,TCP,1466
55,1682101150.5312138,-1,-1,TCP,159
56,1682101150.5312307,-1,-1,TCP,66
57,1682101150.5314193,-1,-1,TCP,66
58,1682101150.5315073,-1,-1,TCP,72
59,1682101150.5358098,0,1,TCP,174
60,1682101150.5358417,1,0,TCP,66
61,1682101150.5362935,0,1,TCP,182
62,1682101150.5363247,1,0,TCP,66
63,1682101150.5363896,0,1,TCP,226
64,1682101150.5364077,1,0,TCP,66
65,1682101150.5368347,0,1,TCP,142
66,1682101150.5368662,1,0,TCP,66
67,1682101150.5368922,0,1,TCP,158
68,1682101150.5369031,1,0,TCP,66
69,1682101150.5568144,-1,-1,TCP,66
70,1682101150.5570903,-1,-1,TCP,398
71,1682101150.5758245,-1,-1,TCP,66
72,1682101150.6620522,-1,-1,TCP,2038
73,1682101150.662085,-1,-1,TCP,1466
74,1682101150.6620955,-1,-1,TCP,415
75,1682101150.662501,-1,-1,TCP,66
76,1682101150.6629884,0,1,TCP,166
77,1682101150.6630406,1,0,TCP,66
78,1682101150.663716,-1,-1,TCP,66
79,1682101150.663936,0,1,TCP,182
80,1682101150.663978,1,0,TCP,66
81,1682101150.707248,-1,-1,TCP,66
82,1682101151.50659,1,0,TCP,102
83,1682101151.507652,0,1,TCP,190
84,1682101151.5077016,1,0,TCP,66
85,1682101153.508142,0,1,TCP,174
86,1682101153.5082014,1,0,TCP,66
87,1682101158.35594,1,0,TCP,102
88,1682101158.39915,0,1,TCP,66
89,1682101164.562657,1,0,TCP,102
90,1682101164.5629768,0,1,TCP,66
91,1682101164.5636933,0,1,TCP,182
92,1682101164.5637372,1,0,TCP,66
93,1682101166.5647912,-1,-1,TCP,66
94,1682101166.5648396,0,1,TCP,174
95,1682101166.5648828,1,0,TCP,66
96,1682101166.5691066,0,1,TCP,638
97,1682101166.569127,1,0,TCP,66
98,1682101166.5691855,0,1,TCP,342
99,1682101166.5692055,1,0,TCP,66
100,1682101166.5692663,0,1,TCP,198
101,1682101166.5692708,1,0,TCP,66
102,1682101166.5843532,-1,-1,TCP,54
103,1682101168.107642,1,0,TCP,102
104,1682101168.1088808,0,1,TCP,206
105,1682101168.1089394,1,0,TCP,66
106,1682101168.1109202,0,1,TCP,242
107,1682101168.1109283,1,0,TCP,66
108,1682101168.110994,1,0,TCP,102
109,1682101168.111003,1,0,TCP,126
110,1682101168.1110113,1,0,TCP,66
111,1682101168.1110315,0,1,TCP,66
112,1682101168.1133857,0,1,TCP,66
113,1682101168.1134098,1,0,TCP,66
114,1682101168.115971,1,0,TCP,74
115,1682101168.116039,0,1,TCP,74
116,1682101168.1160629,1,0,TCP,66
117,1682101168.116227,1,0,TCP,107
118,1682101168.1162596,0,1,TCP,66
119,1682101168.122738,0,1,TCP,107
120,1682101168.1227646,1,0,TCP,66
121,1682101168.1229856,1,0,TCP,1570
122,1682101168.1236565,0,1,TCP,1146
123,1682101168.1670897,1,0,TCP,66
124,1682101168.1738214,1,0,TCP,1274
125,1682101168.183378,0,1,TCP,1630
126,1682101168.1833897,1,0,TCP,66
127,1682101168.2009692,1,0,TCP,82
128,1682101168.24312,0,1,TCP,66
129,1682101168.2431347,1,0,TCP,110
130,1682101168.2431717,0,1,TCP,66
131,1682101168.2432022,0,1,TCP,110
132,1682101168.243257,1,0,TCP,126
133,1682101168.2504382,0,1,TCP,118
134,1682101168.2505057,1,0,TCP,206
135,1682101168.2512133,0,1,TCP,166
136,1682101168.2519264,1,0,TCP,374
137,1682101168.2650204,0,1,TCP,94
138,1682101168.265109,1,0,TCP,178
139,1682101168.3061702,0,1,TCP,842
140,1682101168.3471258,1,0,TCP,66
141,1682101168.3472428,0,1,TCP,258
142,1682101168.3472512,1,0,TCP,66
143,1682101168.3473573,1,0,TCP,854
144,1682101168.347858,0,1,TCP,138
145,1682101168.3911278,1,0,TCP,66
146,1682101168.7552965,1,0,TCP,102
147,1682101168.7561057,0,1,TCP,206
148,1682101168.7561336,1,0,TCP,66
149,1682101168.7568915,0,1,TCP,134
150,1682101168.756919,1,0,TCP,66
151,1682101168.7575216,0,1,TCP,166
152,1682101168.7575488,1,0,TCP,66
153,1682101168.7576675,0,1,TCP,166
154,1682101168.757695,1,0,TCP,66
155,1682101168.7596958,0,1,UDP,88
156,1682101168.759821,0,1,UDP,88
157,1682101168.7760456,1,0,UDP,289
158,1682101168.777931,1,0,UDP,329
159,1682101168.7810352,0,1,TCP,158
160,1682101168.7810817,1,0,TCP,66
161,1682101168.781117,-1,-1,TCP,74
162,1682101168.7941294,-1,-1,TCP,74
163,1682101168.7944558,-1,-1,TCP,66
164,1682101168.804301,-1,-1,TCP,461
165,1682101168.8166597,-1,-1,TCP,66
166,1682101168.8172688,-1,-1,TCP,1514
167,1682101168.8174045,-1,-1,TCP,1514
168,1682101168.8175004,-1,-1,TCP,66
169,1682101168.8175352,-1,-1,TCP,1266
170,1682101168.81756,-1,-1,TCP,66
171,1682101168.817599,-1,-1,TCP,66
172,1682101168.818569,-1,-1,TCP,72
173,1682101168.8186707,-1,-1,TCP,1514
174,1682101168.8281643,-1,-1,TCP,698
175,1682101168.828199,-1,-1,TCP,66
176,1682101168.8284776,-1,-1,TCP,66
177,1682101168.8296776,-1,-1,TCP,140
178,1682101168.8364658,0,1,TCP,182
179,1682101168.8365114,1,0,TCP,66
180,1682101168.8373787,0,1,TCP,198
181,1682101168.8374228,1,0,TCP,66
182,1682101168.837518,0,1,TCP,206
183,1682101168.8375423,1,0,TCP,66
184,1682101168.8380525,0,1,TCP,142
185,1682101168.8380952,1,0,TCP,66
186,1682101168.8384163,0,1,TCP,158
