index,timestamp,src,dst,protocol,length
1,1682367972.6534443,1,0,TCP,74
2,1682367972.6536024,0,1,TCP,74
3,1682367972.6536152,1,0,TCP,66
4,1682367972.6538026,1,0,TCP,107
5,1682367972.6539123,0,1,TCP,66
6,1682367972.659754,0,1,TCP,107
7,1682367972.6597643,1,0,TCP,66
8,1682367972.65997,1,0,TCP,1570
9,1682367972.660467,0,1,TCP,1146
10,1682367972.7012413,1,0,TCP,66
11,1682367972.7128377,1,0,TCP,1274
12,1682367972.722064,0,1,TCP,1630
13,1682367972.7220733,1,0,TCP,66
14,1682367972.7395542,1,0,TCP,82
15,1682367972.7832997,0,1,TCP,66
16,1682367972.7833097,1,0,TCP,110
17,1682367972.7834256,0,1,TCP,66
18,1682367972.7834485,0,1,TCP,110
19,1682367972.783477,1,0,TCP,126
20,1682367972.7907116,0,1,TCP,118
21,1682367972.7907884,1,0,TCP,206
22,1682367972.7916882,0,1,TCP,166
23,1682367972.7925224,1,0,TCP,374
24,1682367972.8054252,0,1,TCP,94
25,1682367972.8055427,1,0,TCP,178
26,1682367972.8472064,0,1,TCP,66
27,1682367972.8559763,0,1,TCP,842
28,1682367972.9013424,1,0,TCP,66
29,1682367972.9014735,0,1,TCP,258
30,1682367972.901482,1,0,TCP,66
31,1682367972.9016,1,0,TCP,838
32,1682367972.901714,0,1,TCP,66
33,1682367972.902136,0,1,TCP,138
34,1682367972.909568,0,1,TCP,242
35,1682367972.9096982,1,0,TCP,66
36,1682367972.9098485,1,0,TCP,102
37,1682367972.909886,1,0,TCP,126
38,1682367972.9099147,1,0,TCP,66
39,1682367972.9101706,0,1,TCP,66
40,1682367972.9206789,0,1,TCP,66
41,1682367972.9207363,1,0,TCP,66
42,1682367972.9255884,1,0,TCP,74
43,1682367972.9256904,0,1,TCP,74
44,1682367972.925704,1,0,TCP,66
45,1682367972.9258778,1,0,TCP,107
46,1682367972.9259777,0,1,TCP,66
47,1682367972.9315913,0,1,TCP,107
48,1682367972.931609,1,0,TCP,66
49,1682367972.931805,1,0,TCP,1570
50,1682367972.9324138,0,1,TCP,1146
51,1682367972.973234,1,0,TCP,66
52,1682367972.9828372,1,0,TCP,1274
53,1682367972.992483,0,1,TCP,1630
54,1682367972.9924953,1,0,TCP,66
55,1682367973.010247,1,0,TCP,82
56,1682367973.0512838,0,1,TCP,66
57,1682367973.051294,1,0,TCP,110
58,1682367973.051398,0,1,TCP,66
59,1682367973.0514052,0,1,TCP,110
60,1682367973.0514588,1,0,TCP,126
61,1682367973.0586488,0,1,TCP,118
62,1682367973.0587306,1,0,TCP,206
63,1682367973.0596368,0,1,TCP,166
64,1682367973.0605588,1,0,TCP,374
65,1682367973.073772,0,1,TCP,94
66,1682367973.0738971,1,0,TCP,178
67,1682367973.117544,0,1,TCP,842
68,1682367973.1612673,1,0,TCP,66
69,1682367973.161351,0,1,TCP,258
70,1682367973.1613588,1,0,TCP,66
71,1682367973.1615264,1,0,TCP,830
72,1682367973.1620524,0,1,TCP,138
73,1682367973.2036347,0,1,TCP,242
74,1682367973.203658,1,0,TCP,66
75,1682367973.2037475,1,0,TCP,102
76,1682367973.2037575,1,0,TCP,126
77,1682367973.203765,1,0,TCP,66
78,1682367973.2038648,0,1,TCP,66
79,1682367973.2058206,0,1,TCP,66
80,1682367973.2058375,1,0,TCP,66
81,1682367973.2084622,1,0,TCP,74
82,1682367973.2085574,0,1,TCP,74
83,1682367973.2085755,1,0,TCP,66
84,1682367973.2087405,1,0,TCP,107
85,1682367973.208825,0,1,TCP,66
86,1682367973.2146175,0,1,TCP,107
87,1682367973.214635,1,0,TCP,66
88,1682367973.214833,1,0,TCP,1570
89,1682367973.2153342,0,1,TCP,1146
90,1682367973.2612247,1,0,TCP,66
91,1682367973.2664049,1,0,TCP,1274
92,1682367973.2759693,0,1,TCP,1630
93,1682367973.2759802,1,0,TCP,66
94,1682367973.2939875,1,0,TCP,82
95,1682367973.335324,0,1,TCP,66
96,1682367973.3353617,1,0,TCP,110
97,1682367973.3355763,0,1,TCP,66
98,1682367973.3357246,0,1,TCP,110
99,1682367973.33588,1,0,TCP,126
100,1682367973.343415,0,1,TCP,118
101,1682367973.343605,1,0,TCP,206
102,1682367973.3459191,0,1,TCP,166
103,1682367973.3482804,1,0,TCP,374
104,1682367973.3658087,0,1,TCP,94
105,1682367973.3660553,1,0,TCP,178
106,1682367973.4072175,0,1,TCP,66
107,1682367973.4411104,0,1,TCP,842
