index,timestamp,src,dst,protocol,length
1,1678222305.7508156,1,0,TCP,74
2,1678222305.750994,0,1,TCP,74
3,1678222305.7510154,1,0,TCP,66
4,1678222305.751252,1,0,TCP,107
5,1678222305.7513213,0,1,TCP,66
6,1678222305.7576864,0,1,TCP,107
7,1678222305.757714,1,0,TCP,66
8,1678222305.7579849,1,0,TCP,1570
9,1678222305.7585604,0,1,TCP,1146
10,1678222305.7993925,1,0,TCP,66
11,1678222305.821372,1,0,TCP,1274
12,1678222305.8319502,0,1,TCP,1630
13,1678222305.8319771,1,0,TCP,66
14,1678222305.854071,1,0,TCP,82
15,1678222305.8969064,0,1,TCP,66
16,1678222305.8969307,1,0,TCP,110
17,1678222305.8970408,0,1,TCP,66
18,1678222305.8971536,0,1,TCP,110
19,1678222305.8972268,1,0,TCP,126
20,1678222305.905923,0,1,TCP,118
21,1678222305.9060435,1,0,TCP,206
22,1678222305.907128,0,1,TCP,166
23,1678222305.9081333,1,0,TCP,374
24,1678222305.9238017,0,1,TCP,94
25,1678222305.9239924,1,0,TCP,178
26,1678222305.9688172,0,1,TCP,66
27,1678222305.9912424,0,1,TCP,842
28,1678222306.0353825,1,0,TCP,66
29,1678222306.0355735,0,1,TCP,258
30,1678222306.0355911,1,0,TCP,66
31,1678222306.0357552,1,0,TCP,822
32,1678222306.0358598,0,1,TCP,66
33,1678222306.0365117,0,1,TCP,138
34,1678222306.0365963,1,0,TCP,110
35,1678222306.0399978,0,1,TCP,342
36,1678222306.040181,1,0,TCP,134
37,1678222306.0404315,0,1,TCP,142
38,1678222306.0405395,1,0,TCP,142
39,1678222306.0407398,0,1,TCP,142
40,1678222306.0408826,1,0,TCP,142
41,1678222306.0411267,0,1,TCP,142
42,1678222306.04119,1,0,TCP,150
43,1678222306.0414162,0,1,TCP,118
44,1678222306.041597,1,0,TCP,134
45,1678222306.042071,0,1,TCP,7306
46,1678222306.0420842,0,1,TCP,7306
47,1678222306.042126,1,0,TCP,66
48,1678222306.0422456,0,1,TCP,14546
49,1678222306.042255,0,1,TCP,3962
50,1678222306.0424116,1,0,TCP,66
51,1678222306.042611,1,0,TCP,158
52,1678222306.042909,0,1,TCP,23234
53,1678222306.042917,1,0,TCP,66
54,1678222306.0429237,0,1,TCP,23234
55,1678222306.042928,1,0,TCP,66
56,1678222306.0429633,0,1,TCP,19338
57,1678222306.0429688,1,0,TCP,66
58,1678222306.0430431,0,1,TCP,126
59,1678222306.0431418,1,0,TCP,102
60,1678222306.0431523,1,0,TCP,134
61,1678222306.0431576,1,0,TCP,134
62,1678222306.0432258,1,0,TCP,158
63,1678222306.043287,0,1,TCP,66
64,1678222306.0435188,0,1,TCP,32870
65,1678222306.043525,1,0,TCP,66
66,1678222306.0435777,0,1,TCP,32870
67,1678222306.0435824,1,0,TCP,66
68,1678222306.0436523,0,1,TCP,32870
69,1678222306.043657,1,0,TCP,66
70,1678222306.0437217,0,1,TCP,32870
71,1678222306.0437262,1,0,TCP,66
72,1678222306.0437434,0,1,TCP,158
73,1678222306.0438151,1,0,TCP,102
74,1678222306.044129,1,0,TCP,158
75,1678222306.0441384,1,0,TCP,158
76,1678222306.0441449,1,0,TCP,158
77,1678222306.044173,1,0,TCP,158
78,1678222306.0442054,0,1,TCP,66
79,1678222306.0442233,0,1,TCP,66
80,1678222306.0443037,0,1,TCP,32870
81,1678222306.04431,1,0,TCP,66
82,1678222306.0443635,0,1,TCP,32870
83,1678222306.0443687,1,0,TCP,66
84,1678222306.0444431,0,1,TCP,32870
85,1678222306.0444484,1,0,TCP,66
86,1678222306.0445397,0,1,TCP,32870
87,1678222306.044545,1,0,TCP,66
88,1678222306.0445628,1,0,TCP,102
89,1678222306.044607,0,1,TCP,32870
90,1678222306.0446122,1,0,TCP,66
91,1678222306.04469,0,1,TCP,32870
92,1678222306.044691,1,0,TCP,222
93,1678222306.0446956,1,0,TCP,66
94,1678222306.0447507,0,1,TCP,32870
95,1678222306.0447562,1,0,TCP,66
96,1678222306.044761,1,0,TCP,194
97,1678222306.0447726,1,0,TCP,158
98,1678222306.0448363,0,1,TCP,66
99,1678222306.0448494,0,1,TCP,32870
100,1678222306.04485,1,0,TCP,158
101,1678222306.0448558,1,0,TCP,66
102,1678222306.0448866,0,1,TCP,206
103,1678222306.0449882,1,0,TCP,158
104,1678222306.0449927,0,1,TCP,32870
105,1678222306.0449982,1,0,TCP,66
106,1678222306.0451086,0,1,TCP,32870
107,1678222306.0451145,1,0,TCP,66
108,1678222306.0451274,1,0,TCP,194
109,1678222306.0451975,0,1,TCP,32870
110,1678222306.0452056,1,0,TCP,158
111,1678222306.0452108,1,0,TCP,66
112,1678222306.0452678,0,1,TCP,32870
113,1678222306.045291,1,0,TCP,158
114,1678222306.0452962,1,0,TCP,66
115,1678222306.04535,0,1,TCP,32870
116,1678222306.0453582,1,0,TCP,158
117,1678222306.0453632,1,0,TCP,66
118,1678222306.0454164,0,1,TCP,32870
119,1678222306.0454285,1,0,TCP,66
120,1678222306.045434,1,0,TCP,194
121,1678222306.0454824,0,1,TCP,32870
122,1678222306.0454926,1,0,TCP,66
123,1678222306.0455008,1,0,TCP,158
124,1678222306.045549,0,1,TCP,32870
125,1678222306.0455582,1,0,TCP,66
126,1678222306.045563,1,0,TCP,158
127,1678222306.0456195,0,1,TCP,32870
128,1678222306.0456245,1,0,TCP,158
129,1678222306.0456283,1,0,TCP,66
130,1678222306.045679,0,1,TCP,32870
131,1678222306.0456862,1,0,TCP,66
132,1678222306.0457003,1,0,TCP,194
133,1678222306.045745,0,1,TCP,32870
134,1678222306.0457528,1,0,TCP,66
135,1678222306.0457606,1,0,TCP,158
136,1678222306.045813,0,1,TCP,32870
137,1678222306.0458176,1,0,TCP,158
138,1678222306.0458217,1,0,TCP,66
139,1678222306.04588,0,1,TCP,32870
140,1678222306.045883,1,0,TCP,158
141,1678222306.0458903,1,0,TCP,66
142,1678222306.0459638,0,1,TCP,32870
143,1678222306.0459733,1,0,TCP,66
144,1678222306.0459862,1,0,TCP,194
145,1678222306.0460436,0,1,TCP,32870
146,1678222306.0460494,1,0,TCP,66
147,1678222306.046082,1,0,TCP,158
148,1678222306.0461457,0,1,TCP,32870
149,1678222306.046152,1,0,TCP,66
150,1678222306.0461602,1,0,TCP,158
151,1678222306.0462112,0,1,TCP,32870
152,1678222306.0462165,1,0,TCP,66
153,1678222306.0462766,0,1,TCP,32870
154,1678222306.0462816,1,0,TCP,66
155,1678222306.0463393,0,1,TCP,32870
156,1678222306.0463445,1,0,TCP,66
157,1678222306.046384,1,0,TCP,102
158,1678222306.0464034,0,1,TCP,32870
159,1678222306.0464082,1,0,TCP,66
160,1678222306.0464444,1,0,TCP,222
161,1678222306.046461,0,1,TCP,66
162,1678222306.0464723,0,1,TCP,32870
163,1678222306.0464785,1,0,TCP,66
164,1678222306.0465066,1,0,TCP,194
165,1678222306.046542,0,1,TCP,32870
166,1678222306.0465472,1,0,TCP,66
167,1678222306.046566,1,0,TCP,158
168,1678222306.046611,0,1,TCP,32870
169,1678222306.0466163,1,0,TCP,66
170,1678222306.0466802,0,1,TCP,32870
171,1678222306.0466847,1,0,TCP,66
172,1678222306.0467384,0,1,TCP,32870
173,1678222306.0467432,1,0,TCP,66
174,1678222306.046752,1,0,TCP,102
175,1678222306.0468023,0,1,TCP,32870
176,1678222306.0468075,1,0,TCP,66
177,1678222306.0468874,0,1,TCP,32870
178,1678222306.0468924,1,0,TCP,66
179,1678222306.0469663,0,1,TCP,32870
180,1678222306.0469718,1,0,TCP,66
181,1678222306.047073,0,1,TCP,32870
182,1678222306.0470746,1,0,TCP,102
183,1678222306.047079,1,0,TCP,66
184,1678222306.0471528,0,1,TCP,32870
185,1678222306.0471592,1,0,TCP,66
186,1678222306.047227,0,1,TCP,32870
187,1678222306.0472322,1,0,TCP,66
188,1678222306.0472858,0,1,TCP,32870
189,1678222306.0472918,1,0,TCP,66
190,1678222306.0473952,0,1,TCP,32870
191,1678222306.0473988,1,0,TCP,102
192,1678222306.047419,1,0,TCP,66
193,1678222306.0474937,0,1,TCP,32870
194,1678222306.0475,1,0,TCP,66
195,1678222306.0475748,0,1,TCP,32870
196,1678222306.0475812,1,0,TCP,66
197,1678222306.0476377,0,1,TCP,32870
198,1678222306.0476427,1,0,TCP,66
199,1678222306.0476992,0,1,TCP,32870
200,1678222306.0477042,1,0,TCP,66
201,1678222306.0477164,1,0,TCP,102
202,1678222306.0477643,0,1,TCP,32870
203,1678222306.04777,1,0,TCP,66
204,1678222306.0478272,0,1,TCP,32870
205,1678222306.0478327,1,0,TCP,66
206,1678222306.0478897,0,1,TCP,32870
207,1678222306.0478938,1,0,TCP,66
208,1678222306.047953,0,1,TCP,32870
209,1678222306.047958,1,0,TCP,102
210,1678222306.047968,1,0,TCP,66
211,1678222306.0480344,0,1,TCP,32870
212,1678222306.0480404,1,0,TCP,66
213,1678222306.0481353,0,1,TCP,32870
214,1678222306.04814,1,0,TCP,66
215,1678222306.0482123,0,1,TCP,32870
216,1678222306.0482173,1,0,TCP,66
217,1678222306.048287,0,1,TCP,32870
218,1678222306.0482917,1,0,TCP,66
219,1678222306.048299,1,0,TCP,102
220,1678222306.048348,0,1,TCP,32870
221,1678222306.0483537,1,0,TCP,66
222,1678222306.0484111,0,1,TCP,32870
223,1678222306.0484154,1,0,TCP,66
224,1678222306.048469,0,1,TCP,32870
225,1678222306.0484734,1,0,TCP,66
226,1678222306.0485227,0,1,TCP,32870
227,1678222306.048528,1,0,TCP,66
228,1678222306.0485382,1,0,TCP,102
229,1678222306.048544,0,1,TCP,774
230,1678222306.0487046,1,0,TCP,118
231,1678222306.0487766,0,1,TCP,66
232,1678222306.0488431,0,1,TCP,134
233,1678222306.0488997,1,0,TCP,102
234,1678222306.049281,0,1,TCP,190
235,1678222306.0493906,1,0,TCP,102
236,1678222306.0494022,1,0,TCP,126
237,1678222306.0494103,1,0,TCP,66
238,1678222306.0495226,0,1,TCP,66
239,1678222306.0518248,0,1,TCP,66
240,1678222306.0518858,1,0,TCP,66
241,1678222306.0592892,1,0,TCP,74
242,1678222306.0594742,0,1,TCP,74
243,1678222306.0594952,1,0,TCP,66
244,1678222306.0596955,1,0,TCP,107
245,1678222306.0597312,0,1,TCP,66
246,1678222306.066957,0,1,TCP,107
