index,timestamp,src,dst,protocol,length
1,1677882657.065052,1,0,TCP,74
2,1677882657.0651577,0,1,TCP,74
3,1677882657.0651834,1,0,TCP,66
4,1677882657.0654306,1,0,TCP,107
5,1677882657.065518,0,1,TCP,66
6,1677882657.0739305,0,1,TCP,107
7,1677882657.0739758,1,0,TCP,66
8,1677882657.0742507,1,0,TCP,1570
9,1677882657.075009,0,1,TCP,1146
10,1677882657.1158023,1,0,TCP,66
11,1677882657.1309028,1,0,TCP,1274
12,1677882657.1401737,0,1,TCP,1630
13,1677882657.1401887,1,0,TCP,66
14,1677882657.158389,1,0,TCP,82
15,1677882657.2000551,0,1,TCP,66
16,1677882657.2000763,1,0,TCP,110
17,1677882657.200199,0,1,TCP,66
18,1677882657.2002728,0,1,TCP,110
19,1677882657.2003477,1,0,TCP,126
20,1677882657.2090073,0,1,TCP,118
21,1677882657.209093,1,0,TCP,206
22,1677882657.2100346,0,1,TCP,166
23,1677882657.2108898,1,0,TCP,374
24,1677882657.2265928,0,1,TCP,94
25,1677882657.226758,1,0,TCP,178
26,1677882657.2720463,0,1,TCP,66
27,1677882657.2833543,0,1,TCP,842
28,1677882657.3238478,1,0,TCP,66
29,1677882657.3240342,0,1,TCP,258
30,1677882657.3240676,1,0,TCP,66
31,1677882657.3275664,1,0,TCP,174
32,1677882657.3277023,0,1,TCP,66
33,1677882657.3277378,1,0,TCP,822
34,1677882657.327846,0,1,TCP,66
35,1677882657.3289516,0,1,TCP,174
36,1677882657.33998,0,1,TCP,134
37,1677882657.3400784,1,0,TCP,66
38,1677882657.3401847,1,0,TCP,110
39,1677882657.340501,0,1,TCP,150
40,1677882657.3408234,1,0,TCP,3486
41,1677882657.3411276,0,1,TCP,66
42,1677882657.3414726,0,1,TCP,126
43,1677882657.3417268,1,0,TCP,134
44,1677882657.3422709,0,1,TCP,110
45,1677882657.3425243,1,0,TCP,134
46,1677882657.3430734,0,1,TCP,150
47,1677882657.343335,1,0,TCP,262
48,1677882657.3438268,0,1,TCP,126
49,1677882657.3439858,1,0,TCP,134
50,1677882657.344517,0,1,TCP,110
51,1677882657.3447657,1,0,TCP,134
52,1677882657.3453228,0,1,TCP,126
53,1677882657.3455892,1,0,TCP,134
54,1677882657.3461552,0,1,TCP,126
55,1677882657.3464112,1,0,TCP,134
56,1677882657.3491702,0,1,TCP,126
57,1677882657.349436,1,0,TCP,134
58,1677882657.350902,0,1,TCP,134
59,1677882657.3511603,1,0,TCP,134
60,1677882657.3516922,0,1,TCP,118
61,1677882657.351926,1,0,TCP,2046
62,1677882657.352233,0,1,TCP,66
63,1677882657.352779,0,1,TCP,2806
64,1677882657.352861,1,0,TCP,66
65,1677882657.3537629,1,0,TCP,134
66,1677882657.3542602,0,1,TCP,118
67,1677882657.3545067,1,0,TCP,134
68,1677882657.3550353,0,1,TCP,158
69,1677882657.3552847,1,0,TCP,134
70,1677882657.355792,0,1,TCP,142
71,1677882657.3560526,1,0,TCP,134
72,1677882657.3567054,0,1,TCP,126
73,1677882657.356964,1,0,TCP,134
74,1677882657.357687,0,1,TCP,126
75,1677882657.3579123,1,0,TCP,134
76,1677882657.3584104,0,1,TCP,126
77,1677882657.3589969,1,0,TCP,3414
78,1677882657.359248,0,1,TCP,66
79,1677882657.3597698,0,1,TCP,150
80,1677882657.3599684,1,0,TCP,190
81,1677882657.3604648,0,1,TCP,150
82,1677882657.3607123,1,0,TCP,190
83,1677882657.3612032,0,1,TCP,150
84,1677882657.3614457,1,0,TCP,190
85,1677882657.3619106,0,1,TCP,150
86,1677882657.3621469,1,0,TCP,190
87,1677882657.362586,0,1,TCP,150
88,1677882657.3628025,1,0,TCP,190
89,1677882657.3632555,0,1,TCP,150
90,1677882657.363471,1,0,TCP,190
91,1677882657.3639522,0,1,TCP,150
92,1677882657.364192,1,0,TCP,190
93,1677882657.3646853,0,1,TCP,150
94,1677882657.3649547,1,0,TCP,190
95,1677882657.3654642,0,1,TCP,150
96,1677882657.36571,1,0,TCP,190
97,1677882657.3661685,0,1,TCP,150
98,1677882657.3664114,1,0,TCP,190
99,1677882657.366869,0,1,TCP,150
100,1677882657.3671155,1,0,TCP,190
101,1677882657.3675587,0,1,TCP,150
102,1677882657.3677857,1,0,TCP,190
103,1677882657.3682086,0,1,TCP,150
104,1677882657.3684523,1,0,TCP,190
105,1677882657.368965,0,1,TCP,158
106,1677882657.369284,1,0,TCP,198
107,1677882657.3698194,0,1,TCP,158
108,1677882657.370059,1,0,TCP,206
